bug id,bug type (CWE),component,Short,input,privilege,mitigation,bounty,introduced_date,reported_date,fixed_date,Has Similar Bug?,third-party
352610611,CWE-416,Dawn,Dawn,gpu-js,renderer,0,8000,2024-06-28,2024-07-12,2024-07-23,No,No
352467338,CWE-122,Blink > Layout,Blink,html,renderer,0,7000,2024-05-01,2024-07-11,2024-08-02,No,No
351843813,CWE-416,Blink > Compositing,Blink,renderer-js,renderer,5,500,2019-12-04,2024-07-09,2024-07-31,Yes,No
351865302,CWE-843,Blink > JavaScript > Compiler > Maglev,V8,JS,renderer,0,7000,N/A,2024-07-09,2024-08-20,No,No
350869463,CWE-122,UI > Browser > WebAppInstalls,UI,gesture,browser,4,2000,2019-11-05,2024-07-03,2024-07-03,Yes,No
349788229,CWE-617,Blink > JavaScript,V8,JS,renderer,0,7000,2024-06-27,2024-06-27,2024-07-04,No,No
349728837,CWE-416,UI > Browser > Downloads,UI,gesture,browser,5,1000,2016-08-04,2024-06-27,2024-06-28,No,No
349653218,CWE-416,Internals > Network > Logging,Network,browser-js,browser,4,1000,2017-09-19,2024-06-27,2024-07-02,No,No
349342289,CWE-416,Platform > Extensions,Extension,browser-js,browser,2,8000,2023-01-04,2024-06-25,2024-07-11,Yes,No
349253666,CWE-416,UI > Browser > Autofill,UI,gesture,browser,5,1000,2023-07-03,2024-06-25,2024-07-15,Yes,No
348793144,CWE-617,Blink > JavaScript > WebAssembly,V8,JS,renderer,0,8000,2024-04-18,2024-06-23,2024-06-26,No,No
348793134,CWE-122,UI > Browser > WebAppInstalls,UI,gesture,browser,4,2000,2024-03-15,2024-06-22,2024-06-27,Yes,No
347724915,CWE-125,Blink > JavaScript > Compiler > Turbofan,V8,JS,renderer,0,8000,2024-05-09,2024-06-17,2024-06-19,No,No
347664964,CWE-416,UI > Browser,UI,gesture,browser,4,1000,2024-06-10,2024-06-17,2024-07-16,No,No
347373236,CWE-416,Blink > GetUserMedia,GetUserMedia,browser-js,browser,3,5000,2024-01-02,2024-06-15,2024-06-24,No,No
346898524,CWE-416,Internals > Media > ScreenCapture,Media,browser-js,browser,2,6000,2023-06-21,2024-06-13,2024-06-19,No,No
346835902,CWE-843,Blink > JavaScript,V8,JS,renderer,0,8000,2024-06-04,2024-06-13,2024-06-13,No,No
346692546,CWE-416,Internals > Media > Audio,Media,browser-js,browser,3,4000,2023-09-19,2024-06-12,2024-06-20,No,No
346044228,CWE-416,Internals > Media > CameraCapture,Media,browser-js,browser,4,3000,2024-05-28,2024-06-09,2024-06-11,No,No
345640549,CWE-416,UI > Browser > Navigation,UI,gesture,browser,4,2500,2023-05-30,2024-06-07,2024-06-21,No,No
345518608,CWE-125,PDFium,PDFium,pdf,renderer,0,7000,2023-05-30,2024-06-07,2024-06-13,No,No
345352978,CWE-122,Blink > JavaScript > Internationalization,ThirdParty,font,renderer,5,500,N/A,2024-06-06,2024-06-28,No,libicu
343748812,CWE-617,Blink > JavaScript > WebAssembly,V8,JS,renderer,0,7000,2023-02-08,2024-05-31,2024-06-04,No,No
343302586,CWE-416,UI > Notifications,UI,gesture,browser,3,4000,2024-02-22,2024-05-29,2024-05-31,No,No
343093440,CWE-416,Internals > PerformanceManager,PerformanceManager,browser-js,browser,5,500,2024-05-24,2024-05-28,2024-06-13,No,No
343014709,CWE-125,Internals > Media > CameraCapture,Media,browser-js,browser,4,2000,2024-04-29,2024-05-28,2024-06-12,No,No
342840932,CWE-1281,Dawn > Tint,Dawn,graphic shader,gpu,3,5000,N/A,2024-05-26,2024-05-29,No,No
342602616,CWE-843,Blink > JavaScript > WebAssembly,V8,JS,renderer,0,7000,2024-02-07,2024-05-24,2024-05-31,Yes,No
342419061,CWE-416,UI > Browser,UI,gesture,browser,3,3000,2024-05-13,2024-05-24,2024-05-29,No,No
341991535,CWE-125,UI > Browser > TopChrome > TabStrip > TabGroups,UI,gesture,browser,4,3000,2024-04-04,2024-05-22,2024-05-30,No,No
341313077,CWE-416,Internals > Plugins > PDF,PDFium,pdf,renderer,5,1000,2021-09-13,2024-05-18,2024-05-22,Yes,No
341181414,CWE-125,Blink > DOM,Blink,html,renderer,0,9000,N/A,2024-05-18,2024-05-22,No,No
341095523,CWE-416,Internals > Plugins > PDF,PDFium,pdf,renderer,5,1000,2017-03-20,2024-05-16,2024-05-22,Yes,No
340178596,CWE-416,Internals > Media > Audio,Media,browser-js,browser,4,2000,2012-10-26,2024-05-13,2024-05-17,Yes,No
340221135,CWE-843,Blink > JavaScript > Compiler > Maglev,V8,JS,renderer,0,8000,N/A,2024-05-13,2024-05-13,No,No
340098902,CWE-416,Internals > Views > Desktop,Views,browser-js,browser,4,2000,N/A,2024-05-13,2024-05-14,No,No
339877165,CWE-122,Blink > WebRTC,WebRTC,audio,renderer,0,7000,N/A,2024-05-11,2024-05-17,No,libaom
339877158,CWE-416,Blink > CSS,Blink,html,renderer,0,500,2022-06-27,2024-05-11,2024-05-16,Yes,No
339788215,CWE-416,Blink > CSS,Blink,html,renderer,0,7000,2022-10-27,2024-05-10,2024-05-13,Yes,No
339686368,CWE-122,Blink > Layout > Grid,Blink,html,renderer,0,8000,2022-02-04,2024-05-10,2024-06-11,No,No
339588211,CWE-416,Blink > PresentationAPI,PresentationAPI,renderer-js,renderer,5,1000,2022-05-06,2024-05-09,2024-05-21,Yes,No
339287000,CWE-416,Blink > DOM,Blink,renderer-js,renderer,0,8000,2024-04-15,2024-05-08,2024-05-14,No,No
339141099,CWE-843,Platform > Extensions,Extension,renderer-js,renderer,2,3000,N/A,2024-05-07,2024-06-18,No,No
339061099,CWE-125,UI > Input > KeyboardShortcuts,UI,gesture,browser,4,2000,2018-08-23,2024-05-07,2024-05-23,No,No
338929744,CWE-416,Internals > Media > Session,Media,browser-js,browser,4,1000,N/A,2024-05-06,2024-05-24,No,No
337998760,CWE-416,Blink > Bindings,Blink,renderer-js,renderer,2,3000,2024-03-18,2024-04-30,2024-05-08,No,No
336449367,CWE-416,Unknown,Mojo,browser-js,browser,4,3000,2024-04-16,2024-04-23,2024-06-12,No,No
336399251,CWE-617,Blink > JavaScript > WebAssembly,V8,JS,renderer,0,8000,2024-04-18,2024-04-23,2024-04-25,No,No
335613092,CWE-122,Internals > GPU > SwiftShader,SwiftShader,graphic shader,gpu,0,20000,N/A,2024-04-18,2024-05-03,Yes,No
335003891,CWE-843,Blink > Media > PictureInPicture,Media,html,renderer,3,3000,N/A,2024-04-16,2024-04-19,No,No
334110479,CWE-416,UI > Browser > TopChrome > SidePanel,UI,gesture,browser,4,1000,2024-04-05,2024-04-13,2024-04-19,No,No
333414305,CWE-122,Internals > Plugins > PDF,PDFium,pdf,renderer,2,7000,2023-12-11,2024-04-09,2024-04-12,No,No
332939155,CWE-125,Blink > WebGL,GPU,renderer-js,renderer,0,8000,2023-06-30,2024-04-05,2024-04-23,No,No
332592716,CWE-416,Internals > OptimizationGuide,OptimizationGuide,browser-js,browser,4,3000,2023-11-28,2024-04-03,2024-04-05,No,No
331837300,CWE-125,Blink > JavaScript,V8,JS,renderer,0,9000,2024-03-26,2024-03-28,2024-04-02,No,No
331369797,CWE-416,Blink > WebAudio,WebAudio,renderer-js,renderer,0,8000,2024-03-15,2024-03-26,2024-05-01,No,No
329965696,CWE-416,UI > Browser > PriceTracking,UI,gesture,browser,3,3000,N/A,2024-03-17,2024-03-19,No,No
329271490,CWE-121,Internals > GPU > ANGLE,ANGLE,graphic shader,gpu,4,2000,2024-02-22,2024-03-13,2024-03-26,No,No
329130361,CWE-416,Blink > WebMIDI,Blink,renderer-js,renderer,3,3000,2024-03-08,2024-03-12,2024-03-21,No,No
329130358,CWE-617,Blink > JavaScript > API,V8,JS,renderer,0,7000,2024-02-19,2024-03-12,2024-03-18,No,No
328918906,CWE-416,Blink > WebAudio,WebAudio,renderer-js,renderer,0,8000,2024-02-29,2024-03-11,2024-03-13,No,No
328483401,CWE-125,Blink > WebGL,GPU,renderer-js,renderer,0,9000,2024-03-07,2024-03-07,2024-03-13,No,No
327696052,CWE-416,Internals > PerformanceManager,PerformanceManager,browser-js,browser,3,4000,2023-11-19,2024-03-01,2024-03-05,No,No
326765855,CWE-416,Platform > DevTools,DevTool,renderer-js,renderer,3,2000,N/A,2024-02-26,2024-04-19,Yes,No
326607008,CWE-416,UI > Browser > Downloads,UI,gesture,browser,4,3000,2021-08-09,2024-02-24,2024-03-15,No,No
326607001,CWE-617,Blink > JavaScript,V8,JS,renderer,0,7000,2023-12-01,2024-02-24,2024-03-18,No,No
326277812,CWE-416,Internals > Media > UI,UI,gesture,browser,4,3000,2024-01-04,2024-02-22,2024-02-22,No,No
325936438,CWE-416,Blink > Identity > FedCM,FedCM,gesture,browser,2,6000,2023-03-08,2024-02-20,2024-02-21,Yes,No
325866363,CWE-617,Blink > JavaScript > WebAssembly,V8,JS,renderer,0,7000,2024-02-07,2024-02-19,2024-02-21,No,No
325697537,CWE-416,UI > Accessibility,UI,gesture,browser,3,4000,2024-02-16,2024-02-17,2024-03-04,No,No
325293263,CWE-416,UI > Browser > TopChrome,UI,gesture,browser,3,3000,N/A,2024-02-15,2024-05-24,No,No
324864439,CWE-125,Blink > WebRTC,WebRTC,renderer-js,renderer,0,7000,2022-09-01,2024-02-12,2024-02-23,Yes,No
324747822,CWE-843,Blink > JavaScript,V8,JS,renderer,0,8000,2024-02-07,2024-02-12,2024-02-15,Yes,No
324596281,CWE-617,Blink > JavaScript,V8,JS,renderer,0,7000,2024-02-06,2024-02-11,2024-02-14,No,No
324690505,CWE-617,Blink > JavaScript,V8,JS,renderer,4,1000,2024-02-06,2024-02-11,2024-02-16,No,No
324342761,CWE-617,Blink > JavaScript,V8,JS,renderer,0,8000,2024-01-25,2024-02-08,2024-02-10,No,No
323813642,CWE-416,Platform > DevTools > Sources,DevTool,renderer-js,renderer,2,3000,N/A,2024-02-05,2024-02-07,No,No
323694592,CWE-617,Blink > JavaScript > WebAssembly,V8,JS,renderer,0,15000,2023-11-09,2024-02-05,2024-02-13,No,No
41496366,CWE-617,Blink > JavaScript > Compiler > Turbofan,V8,JS,renderer,0,7000,2024-01-24,2024-01-31,2024-02-05,No,No
41495060,CWE-617,Blink > Color,Blink,html,renderer,0,7000,N/A,2024-01-26,2024-01-30,No,No
41494611,CWE-617,Blink > JavaScript > Compiler > Maglev,V8,JS,renderer,0,8000,2024-01-18,2024-01-25,2024-01-30,No,No
41494539,CWE-416,Internals > Core,Mojo,browser-js,browser,2,5000,2024-01-23,2024-01-25,2024-01-26,No,No
41493674,CWE-617,Blink > JavaScript > Compiler > Turbofan,V8,JS,renderer,0,8000,2024-01-09,2024-01-23,2024-01-26,No,No
41493290,CWE-416,Blink > Canvas,Blink,renderer-js,renderer,2,4000,2023-12-14,2024-01-21,2024-01-26,Yes,No
41493286,CWE-617,Blink > JavaScript > Compiler > Turbofan,V8,JS,renderer,0,8000,2024-01-16,2024-01-21,2024-01-25,No,No
41493285,CWE-617,Blink > JavaScript > Compiler > Turbofan,V8,JS,renderer,0,7000,2023-12-14,2024-01-21,2024-01-24,No,No
41493175,CWE-125,Blink > JavaScript > Runtime,V8,JS,renderer,0,8000,2023-12-11,2024-01-20,2024-01-23,No,No
41491428,CWE-416,UI > Accessibility,UI,gesture,browser,3,3000,N/A,2024-01-15,2024-01-24,No,No
41491379,CWE-416,Internals > Network > QUIC,network,network-js,network,3,7000,N/A,2024-01-15,2024-02-29,Yes,No
41491373,CWE-617,Blink > JavaScript > Compiler,V8,JS,renderer,0,8000,2023-11-22,2024-01-15,2024-01-22,No,No
41490491,CWE-416,UI > Accessibility,UI,gesture,browser,4,2000,2022-05-04,2024-01-11,2024-01-30,No,No
41488824,CWE-416,Blink > WebRTC,WebRTC,renderer-js,renderer,0,9000,2022-01-17,2024-01-05,2024-01-13,No,No
41487330,CWE-416,Blink > WebRTC > PeerConnection,WebRTC,renderer-js,renderer,3,3000,2023-01-09,2023-12-29,2024-01-19,Yes,No
41486862,CWE-125,Blink > JavaScript > WebAssembly,V8,JS,renderer,0,8000,2023-10-17,2023-12-26,2024-01-09,No,No
41486636,CWE-617,Blink > JavaScript,V8,JS,renderer,0,7000,2023-11-23,2023-12-24,2024-01-29,Yes,No
41486150,CWE-617,Blink > JavaScript > WebAssembly,V8,JS,renderer,0,8000,2023-11-30,2023-12-21,2024-01-09,No,No
41485059,CWE-617,Blink > JavaScript > Compiler > Turbofan,V8,JS,renderer,0,8000,2023-11-20,2023-12-18,2023-12-19,No,No
41484271,CWE-416,Blink > Storage > WebSQL,WebSQL,renderer-js,renderer,0,1000,2023-05-24,2023-12-14,2023-12-18,No,sqlite3
41484151,CWE-416,Blink > Canvas,Blink,renderer-js,renderer,2,5000,2023-08-31,2023-12-14,2024-01-17,Yes,No
41483711,CWE-617,Blink > JavaScript > Compiler > Turbofan,V8,JS,renderer,0,8000,2023-12-06,2023-12-13,2023-12-15,No,No
41483297,CWE-843,Blink > JavaScript > Runtime,V8,JS,renderer,0,7000,2023-08-18,2023-12-12,2023-12-13,Yes,No
41481374,CWE-416,Internals > Mojo,Mojo,browser-js,browser,2,5000,2023-10-02,2023-12-06,2024-02-01,No,No
40948441,CWE-617,Blink > JavaScript > WebAssembly,V8,JS,renderer,0,8000,2023-11-13,2023-12-04,2023-12-06,No,No
40948107,CWE-617,Blink > JavaScript > Compiler > Turbofan,V8,JS,renderer,4,1000,N/A,2023-12-02,2023-12-18,No,No
40946348,CWE-416,Blink > WebRTC,WebRTC,renderer-js,renderer,0,7000,N/A,2023-11-28,2023-12-01,No,No
40945774,CWE-416,UI > Browser > Passwords,UI,gesture,browser,4,1000,2021-10-07,2023-11-25,2023-12-04,Yes,No
40945587,CWE-416,UI > Browser > ContentSuggestions,UI,gesture,browser,4,2000,2023-11-14,2023-11-24,2023-12-06,No,No
40945515,CWE-124,UI > Browser > Themes,UI,gesture,browser,2,6000,N/A,2023-11-24,2024-01-02,No,No
40945359,CWE-122,Internals > Images > Codecs,ThirdParty,image,renderer,0,7000,N/A,2023-11-23,2023-11-29,No,libavif
40942995,CWE-416,Internals > GPU > SwiftShader,SwiftShader,gpu-js,gpu,2,4000,N/A,2023-11-15,2024-06-14,No,No
40942837,CWE-416,UI > Browser > New Tab Page (use subcomponent),UI,gesture,browser,4,2000,2023-11-03,2023-11-15,2023-11-23,No,No
40942439,CWE-416,Blink > GarbageCollection,GarbageCollection,renderer-js,renderer,0,7000,2022-12-05,2023-11-14,2023-11-29,No,No
40942082,CWE-122,Internals > Images > Codecs,ThirdParty,image,renderer,0,7000,N/A,2023-11-13,2023-11-16,No,libavif
40942077,CWE-122,Internals > Images > Codecs,ThirdParty,image,renderer,0,7000,N/A,2023-11-13,2023-11-16,No,libavif
40941179,CWE-416,Blink > Identity > FedCM,FedCM,gesture,browser,2,6000,2023-01-23,2023-11-09,2023-11-28,Yes,No
40940830,CWE-122,UI > GFX,UI,gesture,browser,4,1000,2019-12-13,2023-11-08,2023-11-17,No,No
40076226,CWE-416,UI > Browser > ContentSuggestions,UI,gesture,browser,4,3000,2023-10-19,2023-11-06,2023-11-14,No,No
40075744,CWE-617,Blink > JavaScript > Compiler > Maglev,V8,JS,renderer,0,8000,2023-09-21,2023-10-27,2023-11-07,No,No
40075409,CWE-416,Services (Use Subcomponents) > CloudMessaging,CloudMessaging,browser-js,browser,4,1000,N/A,2023-10-23,2023-11-30,No,No
40075363,CWE-122,Blink > Scheduling,Scheduling,renderer-js,renderer,0,8000,2023-10-14,2023-10-21,2023-10-25,No,No
40075359,CWE-416,UI > Browser > SearchSidePanel,UI,gesture,browser,4,1000,2023-08-08,2023-10-21,2023-10-30,No,No
40936633,CWE-416,UI > Browser > TopChrome > SidePanel,UI,gesture,browser,4,2000,2022-04-16,2023-10-17,2023-10-23,No,No
40936128,CWE-416,UI > Accessibility > ReadingMode,UI,gesture,browser,4,2000,2023-10-04,2023-10-13,2023-10-23,Yes,No
40074795,CWE-416,UI > Browser > Permissions > Prompts,UI,gesture,browser,4,3000,2023-10-04,2023-10-13,2023-11-09,No,No
40074794,CWE-416,"IO (Do Not Use, Use Subcomponents) > USB",IO,browser-js,browser,2,8000,2021-03-19,2023-10-13,2024-05-08,No,No
40074630,CWE-125,Blink > WebGL,GPU,graphic shader,renderer,0,7000,N/A,2023-10-11,2024-04-24,No,No
40935719,CWE-416,UI > Browser > Profiles,UI,gesture,browser,4,3000,2019-10-31,2023-10-10,2023-10-12,No,No
